場所,キャッチコピー,説明
樽見鉄道,多彩な列車が走る樽見鉄道。車内も愉しむイベント企画列車,大垣市から本巣市根尾までをつなぐ、のどかなローカル列車です。移動手段としての便利性を高めるため、時代の変化に合わせて進化し、多彩な外観デザインがあるのも特徴。12月～翌3月の木曜には車内でボタン鍋を味わえるしし鍋列車など、さまざまな企画列車を運行しています。
福岡県,九州の文化・ファッションの中心として賑わう街,福岡県は、都市観光とグルメ探訪が楽しめるエリアです。博多で散策や食を楽しむのもよし、少し足を伸ばせば太宰府や糸島・能古島などで歴史や自然を満喫するのもおすすめ。ネモフィラと桜・マリンワールドが人気の海ノ中道海浜公園もぜひ足を運びたいスポットです。
あしかがフラワーパーク,春が藤棚、冬はイルミネーションが見どころ,栃木県にある、色とりどりの花が咲くフラワーパーク。樹齢160年におよぶ600畳敷の大藤棚3面と世界でも珍しい八重の大藤棚・庭木仕立ての藤・80ｍ続く白藤のトンネルを見ることができます。冬季は藤色の花房をイメージした電飾が咲き広がるストーリーが演出されているイルミネーションも見どころです。
東京ディズニーリゾート,ディズニーのキャラクターが出迎え、日本を代表するテーマパーク,1983年の開園以来、数え切れない人たちに夢を与えてきた日本を代表するテーマパーク。有料サービスのディズニー・プレミアアクセスなら、人気のアトラクションをスムーズに体験することができます。ディズニーの人気キャラクターたちが訪れる人を出迎えてくれますよ。
金沢,伝統芸能・行事といった古くからの伝統文化が息づく街,北陸新幹線が開業したことで都心からのアクセスが便利になり、さらに活気が増した金沢。古くから伝統文化が息づき、九谷焼・加賀友禅・金箔に代表される伝統工芸や、加賀宝生・狂言といった伝統芸能、加賀とびはしご登り、加賀獅子舞の伝統行事なども有名です。四季を通じて訪れたい、魅力ある観光地といえるでしょう。
原爆ドーム,核兵器により被爆した建物。世界の平和を訴える,第2次世界大戦末期に人類史上初めて使用された核兵器により被爆した建物。ほぼ被爆した当時の姿のまま立ち続ける原爆ドームは、核兵器の惨禍を伝え続けています。時代を超えて核兵器の廃絶と世界の恒久平和の大切さを訴える人類共通の平和記念碑です。
吉野山,山全体を彩る、3万本の清楚な白い山桜,谷や尾根を埋める桜は清楚な白い山桜で3万本ともいわれ、シーズンにはひと目千本の壮観さがあります。地域ごとに下千本・中千本・上千本・奥千本と呼ばれており、下千本から徐々に開花を迎え山全体を見事に彩っていくのが特徴です。2004年に吉野山・高野山から熊野にかけての霊場と参詣道が世界遺産に登録されました。
小豆島,壷井栄の小説「二十四の瞳」の舞台ともなった島,瀬戸内海に浮かぶ、オリーブの栽培が盛んな島です。壷井栄の小説二十四の瞳の舞台ともなった島で、二十四の瞳映画村やオリーブ公園、日本の棚田百選にも選ばれた中山棚田など見どころ満載。瀬戸内の人気観光スポットになっています。
富山湾,魚が豊富な外洋性内湾。立山連峰の雄大な景観が望める,日本海では最大の外洋性内湾で、魚の豊富さと蜃気楼が有名な富山湾。暖流と寒流が流れ込み青白く光りながら海岸に押し寄せるホタルイカや、透明な白エビなどの新鮮な味覚はここならではです。海越しに立山連峰を望む景観は世界に認められた美しさで、ダイナミックな景観が望めます。
八代ふるさと公園,甲府盆地が一望できる。春には桜が咲き乱れる,南アルプスの山々や甲府盆地を一望できる、笛吹市にある緑地公園。春には300本の桜の木に花が咲くことから、桜の名所としても知られており、大きな船の木製遊具のある親水広場もあります。多くの古墳が発掘されていることでも有名です。
函館市,グルメや温泉が楽しめる。冬の神秘的な夜景も魅力,グルメ・景色・温泉など、魅力が多い函館市。冬の函館観光では、外灯やネオンの灯りが雪に反射して輝きを増し、神秘的な夜景に出会えます。函館山に登り、ミシュランガイドブックに三つ星として掲載された眺望を楽しむのもおすすめです。
恩納村,エメラルドグリーンの海でトロピカルなムードを味わう,青と緑が織りなす活気溢れる場所です。エメラルドグリーンに輝く海を見渡すビーチで、トロピカルなムードを味わえるのが魅力。海水浴以外にもジェットスキーなどの多彩なマリンスポーツを楽しめ、映画やCMにも使われている国内有数のマリンスポット・真栄田岬では、サンセットを堪能できます。
高遠城址公園,天下第一の桜といわれる名所。古きを偲ぶ歴史的資料も必見,日本さくら名所100選にも選出され、開花時期は天下第一の桜と称される見事な景観が広がる高遠城址公園です。公園内には、国の登録有形文化財の指定を受けた高遠閣や城下から移築された問屋門・太鼓櫓・新城藤原神社など、古きを偲ぶ歴史的資料がたくさん。夏の新緑・秋の紅葉など年間を通じて楽しめます。
名古屋市周辺,どこからでもアクセスに便利。武将観光が盛ん,どこからでもどこへでも、アクセス便利な名古屋市。織田信長・豊臣秀吉・徳川家康の三英傑をはじめ、戦国～江戸期に活躍した大名の大半が愛知県出身で、名古屋では武将観光が盛んです。テレビ塔からは愛知の隅々まで眺望することができますよ。
河内藤園,色とりどりの藤の花がつくるトンネルと大藤棚,福岡県北九州市にある河内藤園は、22種類もの藤の花が植樹されている藤の名所。4月下旬から5月中旬の時期には、藤の花が咲き乱れ、圧巻のボリュームで来場者を迎えてくれます。藤の花をアーチ状にはわせた藤の花トンネルはまさに絶景ですよ。
仙台市,緑あふれる美しい杜の都。温泉やグルメも楽しめる,東京から新幹線で約2時間と、アクセスの良い東北の大都市・仙台。戦国大名・伊達政宗が青葉山の上に築いた仙台城から一望できる市内は、都会ながらも杜の都と称されるように緑豊かです。作並温泉や秋保温泉や新鮮な海の幸など、魅力あふれる観光地でもあります。
とっとり花回廊,大温室や展望回廊もある国内最大級フラワーパーク,四季折々の花が咲き誇る日本最大級のフラワーパークです。11月～1月上旬まで100万球の光がきらめくフラワーイルミネーションを実施。開花調整して咲かせたチューリップ約3000球をライトアップして展示したアイスチューリップエリアでは、花とライトの煌びやかな融合を楽しめます。
宮島（厳島）,海にそびえる鳥居が目印、一度は見たい世界文化遺産,日本三景の1つで、世界文化遺産に登録されている島です。美しい山々と瀬戸内の海という絶好のロケーションの中、海にそびえる大鳥居の姿は圧巻。鳥居後方の弥山はパワースポットといわれ、麓から乗れる宮島ロープウェーに乗れば宮島のロケーションも満喫できます。
弘前公園,歴史ある城と、自然を満喫しながら歩く,天守をはじめ城門や、櫓といった藩政時代の遺構が残っている、青森県弘前市の中心部にある公園です。日本最古のソメイヨシノや桜に囲まれた濠など、県内屈指の桜の名所としても有名。植物園・市立博物館・市民会館などさまざまな施設を楽しむこともできます。
伊勢志摩,日本有数のパワースポットや高級グルメなど魅力たっぷり,およそ125もの社が伊勢志摩エリアに点在し、日本有数の壮大なパワースポットを目当てに訪れる人も多数。伊勢海老やアワビ、松阪牛などの高級グルメを楽しめます。英虞湾の美しい海が育んだ真珠を大切な人へのお土産や、自分へのご褒美に選んでもすてきですよ。
国営ひたち海浜公園,彩り豊な花々を四季を通じて楽しめる、魅力いっぱいの公園,茨城県ひたちなか市の太平洋岸にあり、彩り豊な花々を四季を通じて楽しめる公園です。海抜100mからの眺望を楽しめる大観覧車をはじめ、ジェットコースターなど多彩なアトラクションがそろう遊園地。そのほか、林間アスレチック広場やバーベキュー広場など、遊び方は十人十色です。
京都府,日本屈指の文化の都。パワースポット巡りも,千年の歴史と伝統を長く受け継いでいる日本屈指の文化の都です。国宝指定第一号の弥勒菩薩像があるとされる広隆寺をはじめ、1001体の千手観音のいる三十三間堂など多くの仏像があります。北野天満宮や八坂神社など多くの神もいることから、パワースポットめぐりができるのも魅力です。
金沢市,歴史を感じるスポットと先進的なアートが混在,加賀百万石の歴史を物語るスポットはもちろん、先進的な芸術や建築も楽しめるのが魅力です。日本三名園のひとつである兼六園を訪れたり、金沢21世紀美術館で現代アートに触れてみたりするのもよいでしょう。ノドグロ・ズワイガニといった、金沢の味覚も見逃せません。
草津温泉,"毎分32,300Lの熱湯が湧き出る湯畑","草津温泉は恋の病以外なら、どんな病気でも治るといわれる温泉です。もうもうと湯煙をあげる湯畑は、毎分32,300Lの熱湯が1年中湧き出ています。湯もみと湯もみ踊りが実演される熱の湯など、湯の町ならではの見所が豊富です。"
福岡市,ショッピングとグルメが楽しめる九州最大都市,おしゃれなカフェ巡りや、ファッションビル・デパートでの買い物を楽しめます。ラーメン・もつ鍋などで有名なグルメ天国でもあり、屋台街ではディープな雰囲気が味わえるのも魅力。都心部近くにある住吉神社の摂社・末社は、縁結びや金運などにご利益があるので、足を運ぶのもおすすめです。
道後温泉,日本書紀や万葉集にも登録する、全国に知られる温泉地,夏目漱石の小説「坊ちゃん」の舞台として、また時を知らせる太鼓楼 振鷺閣のある温泉として、全国に知られる温泉地です。歴史は古く、「日本書紀」「万葉集」「源氏物語」などにも名湯として登場。重要文化財にも指定された道後温泉本館が、ひときわ風格ある姿を誇っています。
出雲大社,日本で最も古い神社建築の形式である大社造りの神社,伊勢神宮に並ぶ古社で、大國さまとして親しまれる大国主大神様を奉られています。縁結びの神・福の神として親しまれている神社です。1744年に建てられた本殿は、日本で最も古い神社建築の形式である大社造りで国宝に指定されています。
上高地,様々な高山植物や蝶などを目にすることができる,日本有数の高原散策コースで知られる上高地。初夏から秋にかけては多くの観光客で賑わい、亜高山帯に位置するため、様々な高山植物や蝶などを目にすることができます。一般的なコースは大正池と田代池を結ぶ自然研究路で、起点となる河童橋から2時間程度で往復可能です。
箱根町,さまざまな楽しみ方ができる都心からも近い観光地,箱根は都心からも近く、日帰りでも楽しめる観光地です。ゆっくり温泉に浸かったり美術館を巡って楽しんだり大自然のなかでのんびりしたりと、いろいろな楽しみ方で満喫できるでしょう。周辺には箱根駅伝・芦ノ湖・旧街道石畳などさまざまな観光スポットもありますよ。
箱根湯本温泉,長い歴史と豊富な湯量を誇る箱根温泉の玄関口,豊かな自然に囲まれた都心から最も近い温泉郷箱根。温泉施設・宿・飲食店・みやげ物店などが充実し、連日多くの観光客で賑わう日本でも有数の観光スポットです。仕事終わりや日帰り旅行にもぴったりな、気軽に立ち寄れる温泉施設が充実しています。
飛騨高山,タイムスリップしたかのような観光体験ができる,古い町並みや合掌造りで有名な岐阜県の観光エリア。江戸時代に城下町として栄えていた頃の景観がほぼそのままの姿で残されており、タイムスリップしたような空間のなかでグルメや買い物を楽しめます。奥飛騨エリアには、北アルプス大橋・平湯大滝といった穴場スポットもありますよ。
函館市,グルメや温泉が楽しめる。冬の神秘的な夜景も魅力,グルメ・景色・温泉など、魅力が多い函館市。冬の函館観光では、外灯やネオンの灯りが雪に反射して輝きを増し、神秘的な夜景に出会えます。函館山に登り、ミシュランガイドブックに三つ星として掲載された眺望を楽しむのもおすすめです。
鎌倉市,豊かな自然と寺社仏閣に満ちた歴史的な古都,厳かで気持ちのよい散策スポット鶴岡八幡宮や、いつ訪れても風情あふれる長谷寺など、歴史を感じさせるスポットがいっぱい。紫陽花と悟りの窓が有名な明月院もおすすめです。海水浴やサーファーに人気の海岸や、グルメも楽しみの一つですよ。
札幌市,北日本最大の繁華街・すすきのをもつ美食の街,北海道各地の新鮮食材が集まる食の街・札幌市。海鮮系・ラーメン・ジンギスカン・スープカレーなど絶品料理がたくさん揃っています。食べるだけでなく、夏も冬も北海道の大自然を満喫できるノースサファリサッポロや、市内中心部から近い距離にありながら自然に囲まれた札幌市円山動物園などが見どころです。
軽井沢,歴史ある教会が多く、結婚式にも適した高原リゾート,天然のサナトリウムと称され、避暑地・別荘地としておなじみのウェルネスリゾート。豊かな自然に恵まれており、白糸の滝・浅間山・碓氷峠・雲場池といった景勝地を巡れば心が落ち着きますよ。カナダ人宣教師やイギリス人神父によって建てられた歴史ある教会が多く、結婚式を挙げるのにもおすすめです。
函館湯の川温泉,函館市の観光の拠点としても便利な温泉,松前藩4代藩主・松前高広が承応2（1653）年に湯治に訪れたという記録もある、道内屈指の古湯。函館市の郊外に位置しており、観光の拠点にも便利です。温泉に入るサル・熱帯植物園・松倉川など、 温泉だけでなく散策や行楽もたっぷりと楽しめますよ。
湯田中温泉,老舗旅館が多く湯治場の面影を今も残している温泉郷,湯田中・新湯田中・星川・穂波・安代と5つの地区がある湯田中温泉。それぞれの地区にたくさんの源泉があり、様々な温泉を楽しむことができます。宿泊施設も近代的なホテルや家族経営の昔ながらの小規模旅館など、幅広いジャンルの宿が沢山ありますよ。
屋久島,五感を使って自然を楽しめる、世界自然遺産に登録された離島,九州本土の南60kmに浮かぶ、世界自然遺産に登録された自然豊かな離島。推定樹齢2000～7200年といわれる縄文杉をはじめ、ここでしか出合えない絶景が多く存在します。アクティビティも充実しており、五感を使って自然を楽しめるのが魅力ですね。
東京都,動物園などさまざまな観光スポットが目白押し,東京スカイツリーや東京タワーなど観光スポットも目白押しで、国内だけでなく海外からも多くの旅行者が訪れる東京。富岡八幡宮・浅草寺・柴又帝釈天などの歴史的寺社仏閣や、上野公園もおすすめです。江戸前寿司をはじめとする伝統グルメも楽しむことができますよ。
十和田湖,青森県と秋田県にまたがる、自然を満喫できる湖,標高400mの山の上にダークブルーの水をたたえ、青森県と秋田県にまたがる広大な湖。湖岸のほとんどが断崖に囲まれ、変化のある風景を作り出しています。渓流散策エリアを散策してリフレッシュしたり、自然と歴史とグルメを満喫するのもいいですね。
仙台市,緑あふれる美しい杜の都。温泉やグルメも楽しめる,東京から新幹線で約2時間と、アクセスの良い東北の大都市・仙台。戦国大名・伊達政宗が青葉山の上に築いた仙台城から一望できる市内は、都会ながらも杜の都と称されるように緑豊かです。作並温泉や秋保温泉や新鮮な海の幸など、魅力あふれる観光地でもあります。
湯河原温泉,年間を通じて楽しめる、由緒ある温泉地,藤木川の渓流に沿い、数多くの温泉宿が建ち並ぶ湯河原。古くは万葉集にも詠まれた由緒ある温泉地で、明治以降は文人墨客が訪れています。首都圏からも近く､春は新緑・夏は海水浴・秋は紅葉やみかん狩り・1月下旬からは梅と、年間を通じて楽しむことができますよ｡
横浜市,日本・西洋・中国の文化が混ざり合う活気あふれる街,みなとみらいの海の景色や美しい夜景など、魅力スポットたっぷりで1日中楽しめるのが魅力の都市。水族館と遊園地が一緒になった八景島シーパラダイスも、多くの家族連れやカップルでにぎわうおすすめスポットです。横浜中華街で食べ歩きやショッピングを楽しむのもいいですね。
阿智村,環境省から認定された日本一美しい星空を見ることができる,南倉州・岐阜県との県境に位置する阿智村は、美肌の湯昼神温泉郷を核とした人口約6000人の小さな村。環境省から認定された日本一美しい星空や、1万本の花桃・清内路の伝統花火など地域資源が豊富です。東山道など万葉の歴史がある奥深い地域でもあります。
松島,日本三景のひとつで、福浦橋をはじめとした美しい景色を拝める,日本三景のひとつにも数えられる美しさを誇る、宮城県の沿岸地域にある松島。豪華絢爛な桃山文化を感じさせる瑞巌寺など、歴史的建造物も多い場所です。豪華絢爛な桃山文化を感じさせる瑞巌寺は、伊達政宗が5年の歳月をかけて完成させた奥州随一の古刹で、国宝にも指定されています。
富士河口湖温泉,湖畔沿いで富士山と湖を眺めながら楽しめる温泉郷,天水の湯・霊水の湯・芙蓉の湯・麗峰の湯の4つの源泉からなる、富士山と湖を眺めながら楽しめる温泉。露天風呂や展望風呂を備えた旅館、ホテルが点在しています。春は桜と富士山、夏は夕闇に浮かぶ富士山の山小屋の灯火、秋は紅葉の山並みと初雪の富士山、冬は雪景色の富士山を眺めることができますよ。
三宮・元町,三宮・元町を中心として観光スポットが密集,南京町など、開港後に外国文化がいち早く定着した三宮・元町エリア。南京町は日本三大チャイナタウンの一つに数えられる中華街で、限られた面積の中に約100店舗もの多くのレストランが軒を連ねています。現在も残る立派な西洋建築を、レストランやショップとして利用したおしゃれな旧居留地も見どころです。
広島市,戦禍を後世に伝える世界文化遺産、原爆ドームのある都市,世界文化遺産に登録された、核兵器の廃絶と平和の大切さを世界へ訴えるシンボルの原爆ドームが有名な広島市。歴史ある建物はもちろん、牡蠣や広島焼きなどのグルメもあります。路面電車に揺られながら広島の街並みを見るのもおすすめですよ。
有馬温泉,数々の文豪や著名人に愛された日本三古泉の一つ,太閤・秀吉も愛した関西の奥座敷有馬温泉は、日本三古泉の一つ。褐色の名物湯「金泉」と、無色透明な「銀泉」の異なる泉質を持つ湯が楽しめるのが魅力です。数々の文豪や著名人に愛され、現在でも昔ながらの情緒あふれる温泉街が広がっていますよ。
月岡温泉,古くから親しまれている硫黄の香りに包まれた温泉街,大正4年に開湯した月岡温泉。石油を採掘している時に偶然温泉が出てきたことから、湯治場として始まりました。硫黄の香りに包まれた温泉街には、旅館や飲食店・お土産屋が建ち並び、夕暮れになると艶やかな着物姿の芸妓たちが行き交い、情緒を感じる街並みが旅人を出迎えてくれますよ。
別府温泉,古くから砂湯で知られる温泉観光地,別府温泉郷の中心の温泉観光地。市街地の海岸通りと流川通りの周辺には、ホテル旅館街があります。流川通りには銀天街などの繁華街がにぎわいを見せており、市営の共同浴場・竹瓦温泉は唐破風造りの趣きがあり、古くから砂湯で知られていますよ。
下田市,白い砂浜ときれいな海を望める開国の歴史に触れあえる温泉地,開国の舞台となった、多くの観光客が訪れる温泉地。イルカと遊べるアクティビティが人気の下田海中水族館や、天空から差し込む光が神々しい龍宮窟など観光スポットも満載です。異国情緒あふれるレトロな雰囲気の散歩道、ペリーロードも人気ですよ。
熱海温泉,古きよきビーチリゾート。町中で源泉掛け流しを楽しめる,都心からのアクセスもよく、町中で源泉掛け流しを楽しめる人気の温泉地。泉質は塩化物温泉と硫酸塩温泉、どちらも肌にやさしい弱アルカリ性で、冷え性や神経痛への作用が期待できます。海にも山にも近く、見る・体験するスポットが豊富にあるので、1日中飽きずに楽しめるでしょう。
玉造温泉,まるで化粧水。美肌の湯として有名な温泉地,島根を代表する温泉街のひとつである玉造温泉。古くから美肌の湯として全国にその名を馳せており、潤い成分を多く含んだ化粧水のような泉質が特徴です。玉湯川沿いにはずらりと宿が立ち並び、どれも魅力的でそれぞれに趣の異なるお風呂を楽しめます。
京都駅周辺,近代的な意匠の京都観光の拠点となるターミナル駅,京都駅から徒歩圏内には、迫力のある木造建築の東本願寺や、灯台をモチーフにした京都のシンボル・ニデック京都タワーがあります。駅ビル内にある京都劇場では、ミュージカル・演劇・コンサートなどが目白押し。ホテルや百貨店、ショップやグルメなども勢ぞろいです。
城崎温泉,異なる趣の7つの外湯がある伝統の温泉街,島崎藤村・志賀直哉・司馬遼太郎など、多くの文人墨客に愛された文学の香り高い伝統の温泉街。大谿川の両岸に旅館やみやげ物屋が軒を連ね、温泉情緒を盛り上げています。趣の異なる7つの外湯があり、すべて巡れば、マイ・ベスト外湯がきっと見つかるでしょう。
嚴島神社,歴史的な建造物やイベントが見どころの日本三景,松島・天橋立と並び日本三景、安芸の宮島として知られ、ユネスコの世界文化遺産にも登録された神社です。平安期の寝殿造りを神社建築に応用した、長い回廊が特徴。瀬戸内海の島を背後に、海の中に立つ朱色の大鳥居や木造建物が建ち並ぶ姿は日本でも珍しく、潮が満ちてくると社殿があたかも海に浮かんだように見えます。
長崎県,異国ムード満点のハウステンボスや街並みを楽しもう,世界遺産の軍艦島に並ぶ、朽ちゆく建物が異世界のような、歴史と海が待つ長崎県。原爆資料館は大人になってからこそ訪れたい場所です。オランダの街並みが再現されたハウステンボスは、一年を通じて人気のスポットとなっています。
沖縄県,亜熱帯の海と琉球の風に包まれるリゾート,日本屈指の観光県でもある沖縄県。長い夏にはマリンアクティビティを、過ごしやすい冬は首里城などの世界遺産巡りがおすすめです。宮古島・石垣島などの離島めぐりはエキサイティングで、コバルトブルーの海が楽しめますよ。
大阪府,観光スポット満載で、グルメもエンタメも充実,エンターテインメントと食の街・大阪。USJをはじめ遊びが満載のベイエリアや、落語や漫才を楽しめるなんば、関西最先端の梅田エリアと多彩なラインナップが魅力です。粉もんグルメも有名で、どこに行っても満腹満足の滞在になりそうですね。
城ヶ島,三崎半島の先端にある、橋の先に待つ自然豊かな絶景の島,三崎漁港の沖わずか300mに横たわる島。東西約2km・南北200～600mと細長く、島の東の高台には豊かな自然が、西には漁港とひなびた商店街があります。両端に立つ恋する灯台からは、朝日と夕日の両方を楽しめますよ。
由布院温泉,夏でも快適に過ごせる。落ち着いた雰囲気の温泉地,由布岳を背景に田園が広がり、朝には霧に包まれる由布院盆地。豊富に湧く温泉とともに様々な文化イベントの開催で注目を浴び、一大温泉郷として人気を集めています。紅葉が美しい秋はもちろん、近くの金鱗湖・大分川から湯気が立ち上る幻想的な冬もおすすめですよ。
那覇市,都会的な街並みの中に文化遺産が数多く点在,沖縄県の県都として､人口32万人余を有する政治・経済・文化の中心地です。都会的な街並みのなかに、首里城跡などの文化遺産が数多く点在。古くから伝わる民芸品があり、那覇市伝統工芸館などで伝統工芸の展示販売・製作体験もできます。
下呂温泉,アルカリ性単純温泉が特徴。湯めぐり手形は必見,84度という高い温度で湧く天然温泉です。泉質は無色透明のアルカリ性単純泉で、ほのかな香りとまろやかなお湯で肌に優しく絡みます。手形加盟旅館の中から3軒のお風呂に入浴できる、湯めぐり手形もおすすめです。
秩父市,いつ訪れてもその季節ならではの美しい景色を楽しめる,都心から特急電車で行けてアクセスが便利。冬には大規模な氷のオブジェ・秩父三大氷柱、春には秩父のシンボルともいわれる花のパッチワーク・芝桜の丘など、いつ訪れてもその季節ならではの美しい景色を楽しめます。秩父に3社ある、秩父神社・寶登山神社・三峯神社の神社巡りをするのもおすすめですよ。
奥入瀬渓流,木々のトンネルと川のせせらぎに癒やされる、新緑・紅葉の名所,十和田八幡平国立公園内にあり、十和田湖畔・子ノ口から焼山までの約14kmにわたる景勝地です。四季折々に美しい自然の姿が見られ、とくに新緑・紅葉の名所として知られています。渓流沿いには車道と遊歩道が整備されており、気軽にアクセスできるのもうれしいポイントです。
阿寒湖温泉,マリモで有名な阿寒湖の南岸にある温泉地,特別天然記念物マリモの生息地として知られる、阿寒湖畔の南側に湧きでた温泉。国道241号線から1本湖よりにある通りに沿って、旅館・お土産店・飲食店などが集中している、昔ながらの温泉街です。旅館やホテルのほとんどは湖に面しているので、部屋や露天風呂から阿寒湖の景色が一望できますよ。
釧路市,北海道東部の拠点都市。阿寒湖や釧路湿原を散策しよう,木道の散策・カヌー・乗馬や観光列車の乗車など、色々なことをして過ごせる釧路湿原。コロンと丸い天然記念物のマリモに出会える阿寒湖など、見どころがいっぱい。アイヌ文化に触れたり温泉につかったり、たっぷりと時間をとって楽しめるスポットが点在しています。
伊勢神宮,美しい日の出を望める。天照大御神を祀る神宮,天照大御神を祀る皇大神宮と、衣食住を始め産業の守り神である豊受大御神を祀る豊受大神宮からなります。14所の別宮と43所の摂社に加え、24所の末社と42所の所管社も含めて神宮と呼ばれます。冬至を中心とした前後1か月は、内宮宇治橋の大鳥居から美しい日の出が望めるのも魅力です。
瀬戸内しまなみ海道,車で自転車で、絶景の中を走り抜ける,広島県尾道市と愛媛県今治市を結ぶ全長約60kmの自動車専用道路です。瀬戸内海に浮かぶ芸予諸島の島々を橋で結んでいます。新尾道大橋以外の各橋には、原動機付き自転車道及び自転車・歩行者専用の道路が整備されていて、眼下に多島美を眺めながらサイクリングも楽しめますよ。
香川県,うどんといえば香川！金刀比羅宮や小豆島も外せない,こんぴらさんが有名なうどん県。奥社までの階段が1368段にも及ぶ金毘羅宮は、健脚のうちに一度は訪れたい名所です。秋には見事なもみじが広がる栗林公園や建築家・安藤忠雄氏が設計した地中美術館など、アートな観光にぴったりですよ。
銀山温泉,昔ながらの景観、ノスタルジックな温泉街,大正浪漫の郷愁を感じるノスタルジックな温泉街です。温泉で疲れを癒したら自然の中でのんびり過ごすのも銀山温泉の楽しみ方。大正末期から昭和初期に建てられた洋風木造多層の旅館が銀山川の両岸に沿って軒を並べ、昔ながらの独特な景観を味わうことができます。
あしかがフラワーパーク,春が藤棚、冬はイルミネーションが見どころ,栃木県にある、色とりどりの花が咲くフラワーパーク。樹齢160年におよぶ600畳敷の大藤棚3面と世界でも珍しい八重の大藤棚・庭木仕立ての藤・80ｍ続く白藤のトンネルを見ることができます。冬季は藤色の花房をイメージした電飾が咲き広がるストーリーが演出されているイルミネーションも見どころです。
横浜赤レンガ倉庫,海に面したロケーションで、季節ごとにイベントを開催,イベント・ショッピング・歴史・ロケーションと、さまざまな魅力をもつ横浜赤レンガ倉庫。イベント広場では季節ごとにイベントが開催され、多くの人で賑わいます。ベイブリッジや大さん橋を一望できる海に面したロケーションも魅力です。
兼六園,国の特別名勝指定。冬は演奏やライトアップを楽しめる,石川県金沢市にある日本庭園です。17世紀中期、加賀藩により金沢城の外郭に造営された藩庭が起源といわれ、国の特別名勝にも指定。冬には、特別演奏やライトアップイベントが行われるなど、観て・聴いて楽しいイベントとなっています。
ハウステンボス,花と光が彩る、中世ヨーロッパ風の幻想テーマパーク,まるで中世のヨーロッパのようなテーマパーク。昼は季節の花々が、夜はイルミネーションが街中を彩ります。冬の時期は、見惚れるほどの輝きを放つクリスマススクエアと、ヨーロッパさながらのクリスマスマーケットが広がり、スペクタクルな花火やショーも魅力です。
小樽運河,倉庫群をそのまま再利用。夜間にはライトアップも,小樽運河は海岸の沖合いを埋め立てて造られたため、直線ではなく緩やかに湾曲しているのが特徴です。夕暮れ時にはガス灯が点くとともに石造倉庫群がライトアップされ、昼間とは違う雰囲気を演出。散策路には63基のガス灯が設置され、運河沿いの石造倉庫群は当時の姿のままレストランなどに再利用されています。
貴船神社,水神の総本宮。夜間特別ライトアップも,万物の命の源である水の神を祀る、全国2千社を数える水神の総本宮です。始まりは不詳ですが、約1300年前の白鳳6年には既に社殿造替の記録があることから、日本でも指折りの古社に数えられます。11月に開催される夜間特別ライトアップの、貴船もみじ灯籠も魅力です。
伊勢神宮,美しい日の出を望める。天照大御神を祀る神宮,天照大御神を祀る皇大神宮と、衣食住を始め産業の守り神である豊受大御神を祀る豊受大神宮からなります。14所の別宮と43所の摂社に加え、24所の末社と42所の所管社も含めて神宮と呼ばれます。冬至を中心とした前後1か月は、内宮宇治橋の大鳥居から美しい日の出が望めるのも魅力です。
地獄谷野猿公苑,世界で唯一、温泉に入るサルを間近で観察,「スノーモンキー」として外国人観光客からも人気の、温泉に入る猿を観察することができる公園です。園内の猿はすべて野生で、-10℃にもおよぶ厳しい冬の寒さをしのぐため温泉に入るようです。温泉に入らない時期でもニホンザルの観察は楽しむことができます。
函館市,グルメや温泉が楽しめる。冬の神秘的な夜景も魅力,グルメ・景色・温泉など、魅力が多い函館市。冬の函館観光では、外灯やネオンの灯りが雪に反射して輝きを増し、神秘的な夜景に出会えます。函館山に登り、ミシュランガイドブックに三つ星として掲載された眺望を楽しむのもおすすめです。
なばなの里,花々が咲き誇る＆イルミネーションがロマンチック,広大な敷地に季節の花々が咲き誇る、花のテーマパークです。展望台のアイランド富士は頂上で360度回転し、地上45mの高さで上空散歩ができるのも魅力。10月頃からは、イルミネーションが開催され、ロマンチックで忘れられないすてきな夜を楽しめます。
国営昭和記念公園,どの季節も美しく自然を満喫できる国営公園,立川市と昭島市にまたがる広大な公園で、どの季節も美しく自然を満喫できるのが魅力。さまざまなイベントやバーベキュー、また花火大会が開催されたりと幅広い楽しみ方ができます。ドッグランやレインボープールなど、遊べる施設が充実しているのもポイントです。
金閣寺,極楽浄土をこの世に表した建築・庭園が魅力,正式名称を鹿苑寺といい、相国寺の塔頭寺院の一つです。舎利殿「金閣」が特に有名なため、一般的に金閣寺と呼ばれています。金閣を中心とした庭園・建築は、極楽浄土をこの世に表したと言われ、中国との貿易を盛んにして文化の発展に貢献した舞台です。
蔵王,樹氷を見ることができる宮城県を代表する主要観光地,宮城県を代表する主要観光地です。1年を通じ、四季折々の豊かな⾃然が織りなすリゾートを堪能でき、開湯400余年になる歴史ある温泉街「遠刈⽥温泉」では、源泉かけ流しのお湯が楽しめます。冬には、全国で限られた地域にしかできない樹氷を⾒ることができるのも魅力です。
青い池,積雪期間中にはライトアップも。幻想的な風景が魅力,十勝岳の防災工事の際、堰堤に溜まった水が不思議なほど青い色をたたえ、立ち枯れのカラマツと相まって幻想的な風景になりました。爽やかな水の色と息絶えた木々のコントラストが神秘的。積雪期間中はライトアップされ、違った景色を楽しめるのも魅力です。
